timestamp,minute,open,high,low,close,volume
2026-05-29T00:00:00.000Z,2026-05-29T00:00:00.000Z,4431.52929,4431.52929,4430.70334,4430.83698,0
2026-05-29T00:01:00.000Z,2026-05-29T00:01:00.000Z,4431.05026,4431.05026,4428.18801,4429.0269,0
2026-05-29T00:02:00.000Z,2026-05-29T00:02:00.000Z,4430.18027,4430.18027,4426.82615,4427.29684,0
2026-05-29T00:03:00.000Z,2026-05-29T00:03:00.000Z,4428.15607,4428.15607,4423.85213,4424.93172,0
2026-05-29T00:04:00.000Z,2026-05-29T00:04:00.000Z,4427.14363,4427.14363,4422.235,4422.76716,0
2026-05-29T00:05:00.000Z,2026-05-29T00:05:00.000Z,4423.78839,4425.24564,4423.78839,4424.79047,0
2026-05-29T00:06:00.000Z,2026-05-29T00:06:00.000Z,4423.72574,4426.32455,4423.72574,4425.98465,0
2026-05-29T00:07:00.000Z,2026-05-29T00:07:00.000Z,4425.17022,4427.4762,4425.17022,4427.01654,0
2026-05-29T00:08:00.000Z,2026-05-29T00:08:00.000Z,4426.38386,4431.76271,4426.38386,4430.23599,0
2026-05-29T00:09:00.000Z,2026-05-29T00:09:00.000Z,4426.81555,4437.27098,4426.81555,4435.37262,0
2026-05-29T00:10:00.000Z,2026-05-29T00:10:00.000Z,4431.76228,4439.51165,4431.76228,4438.69606,0
2026-05-29T00:11:00.000Z,2026-05-29T00:11:00.000Z,4437.12563,4437.24627,4434.23225,4437.24627,0
2026-05-29T00:12:00.000Z,2026-05-29T00:12:00.000Z,4437.56766,4437.56766,4432.8206,4433.26981,0
2026-05-29T00:13:00.000Z,2026-05-29T00:13:00.000Z,4434.31519,4451.63239,4434.31519,4445.91877,0
2026-05-29T00:14:00.000Z,2026-05-29T00:14:00.000Z,4435.16353,4459.55315,4435.16353,4456.78545,0
2026-05-29T00:15:00.000Z,2026-05-29T00:15:00.000Z,4453.16977,4462.49275,4453.16977,4461.47003,0
2026-05-29T00:16:00.000Z,2026-05-29T00:16:00.000Z,4459.48346,4459.50767,4458.20423,4458.63954,0
2026-05-29T00:17:00.000Z,2026-05-29T00:17:00.000Z,4459.22409,4462.60026,4457.32115,4457.57234,0
2026-05-29T00:18:00.000Z,2026-05-29T00:18:00.000Z,4458.31917,4465.39274,4458.31917,4464.43397,0
2026-05-29T00:19:00.000Z,2026-05-29T00:19:00.000Z,4462.87678,4467.63114,4462.87678,4466.83092,0
2026-05-29T00:20:00.000Z,2026-05-29T00:20:00.000Z,4465.75045,4470.05061,4464.97056,4469.20793,0
2026-05-29T00:21:00.000Z,2026-05-29T00:21:00.000Z,4467.5348,4467.5348,4461.33915,4462.62829,0
2026-05-29T00:22:00.000Z,2026-05-29T00:22:00.000Z,4464.70214,4464.70214,4457.80035,4459.02391,0
2026-05-29T00:23:00.000Z,2026-05-29T00:23:00.000Z,4460.96453,4460.96453,4455.90302,4456.59573,0
2026-05-29T00:24:00.000Z,2026-05-29T00:24:00.000Z,4458.12193,4459.0775,4453.00915,4454.05439,0
2026-05-29T00:25:00.000Z,2026-05-29T00:25:00.000Z,4455.33412,4463.27156,4454.55013,4461.7632,0
2026-05-29T00:26:00.000Z,2026-05-29T00:26:00.000Z,4458.45177,4465.08305,4458.45177,4464.37656,0
2026-05-29T00:27:00.000Z,2026-05-29T00:27:00.000Z,4463.00238,4463.00238,4462.29362,4462.40435,0
2026-05-29T00:28:00.000Z,2026-05-29T00:28:00.000Z,4462.5506,4462.5506,4461.1903,4461.61849,0
2026-05-29T00:29:00.000Z,2026-05-29T00:29:00.000Z,4462.1688,4462.1688,4460.50225,4460.725,0
2026-05-29T00:30:00.000Z,2026-05-29T00:30:00.000Z,4460.98555,4462.98793,4460.26627,4462.48096,0
2026-05-29T00:31:00.000Z,2026-05-29T00:31:00.000Z,4461.2815,4465.61803,4460.87445,4464.66026,0
2026-05-29T00:32:00.000Z,2026-05-29T00:32:00.000Z,4462.53884,4466.8781,4462.53884,4466.41752,0
2026-05-29T00:33:00.000Z,2026-05-29T00:33:00.000Z,4465.92955,4465.92955,4461.89541,4462.31469,0
2026-05-29T00:34:00.000Z,2026-05-29T00:34:00.000Z,4462.95444,4464.75754,4459.29308,4460.28282,0
2026-05-29T00:35:00.000Z,2026-05-29T00:35:00.000Z,4461.59224,4461.59224,4457.21762,4457.97195,0
2026-05-29T00:36:00.000Z,2026-05-29T00:36:00.000Z,4459.34316,4459.34316,4456.52658,4456.83489,0
2026-05-29T00:37:00.000Z,2026-05-29T00:37:00.000Z,4457.42476,4457.76405,4457.42476,4457.73553,0
2026-05-29T00:38:00.000Z,2026-05-29T00:38:00.000Z,4457.56517,4457.91726,4456.23232,4457.88408,0
2026-05-29T00:39:00.000Z,2026-05-29T00:39:00.000Z,4457.89898,4458.56635,4455.001,4455.39883,0
2026-05-29T00:40:00.000Z,2026-05-29T00:40:00.000Z,4455.69404,4460.91458,4455.69404,4460.08525,0
2026-05-29T00:41:00.000Z,2026-05-29T00:41:00.000Z,4457.99388,4466.21868,4455.2753,4464.29771,0
2026-05-29T00:42:00.000Z,2026-05-29T00:42:00.000Z,4461.50763,4468.27525,4461.50763,4467.43442,0
2026-05-29T00:43:00.000Z,2026-05-29T00:43:00.000Z,4465.87213,4467.10988,4464.2041,4464.51506,0
2026-05-29T00:44:00.000Z,2026-05-29T00:44:00.000Z,4465.27188,4469.18492,4465.27188,4468.40573,0
2026-05-29T00:45:00.000Z,2026-05-29T00:45:00.000Z,4467.38369,4473.23174,4467.38369,4471.82927,0
2026-05-29T00:46:00.000Z,2026-05-29T00:46:00.000Z,4469.068,4477.27941,4469.068,4475.91554,0
2026-05-29T00:47:00.000Z,2026-05-29T00:47:00.000Z,4472.55374,4479.08268,4471.63482,4478.41247,0
2026-05-29T00:48:00.000Z,2026-05-29T00:48:00.000Z,4476.1761,4476.1761,4468.67459,4469.67302,0
2026-05-29T00:49:00.000Z,2026-05-29T00:49:00.000Z,4471.45804,4471.47201,4468.85092,4469.73517,0
2026-05-29T00:50:00.000Z,2026-05-29T00:50:00.000Z,4471.38366,4471.38366,4467.27719,4467.80265,0
2026-05-29T00:51:00.000Z,2026-05-29T00:51:00.000Z,4468.47559,4470.16288,4468.47559,4470.00638,0
2026-05-29T00:52:00.000Z,2026-05-29T00:52:00.000Z,4469.78978,4470.62717,4469.28475,4470.43125,0
2026-05-29T00:53:00.000Z,2026-05-29T00:53:00.000Z,4470.0906,4471.00325,4467.75045,4468.32432,0
2026-05-29T00:54:00.000Z,2026-05-29T00:54:00.000Z,4469.30902,4472.28681,4469.30902,4471.75636,0
2026-05-29T00:55:00.000Z,2026-05-29T00:55:00.000Z,4471.07196,4474.2716,4470.13222,4473.56359,0
2026-05-29T00:56:00.000Z,2026-05-29T00:56:00.000Z,4472.27916,4472.27916,4468.7921,4469.3339,0
2026-05-29T00:57:00.000Z,2026-05-29T00:57:00.000Z,4470.51629,4470.51629,4466.56197,4467.31938,0
2026-05-29T00:58:00.000Z,2026-05-29T00:58:00.000Z,4468.65652,4468.65652,4464.68536,4465.2671,0
2026-05-29T00:59:00.000Z,2026-05-29T00:59:00.000Z,4466.03819,4468.31335,4463.88715,4464.1492,0
2026-05-29T01:00:00.000Z,2026-05-29T01:00:00.000Z,4464.94535,4471.21082,4464.94535,4470.22069,0
2026-05-29T01:01:00.000Z,2026-05-29T01:01:00.000Z,4468.6188,4473.1898,4468.6188,4472.48256,0
2026-05-29T01:02:00.000Z,2026-05-29T01:02:00.000Z,4471.58107,4474.69743,4471.58107,4474.16497,0
2026-05-29T01:03:00.000Z,2026-05-29T01:03:00.000Z,4473.35714,4475.4744,4473.35714,4475.25375,0
2026-05-29T01:04:00.000Z,2026-05-29T01:04:00.000Z,4474.76584,4474.81239,4474.67335,4474.6796,0
2026-05-29T01:05:00.000Z,2026-05-29T01:05:00.000Z,4474.70421,4475.82863,4474.67335,4475.4367,0
2026-05-29T01:06:00.000Z,2026-05-29T01:06:00.000Z,4474.52551,4476.47612,4474.52551,4476.28011,0
2026-05-29T01:07:00.000Z,2026-05-29T01:07:00.000Z,4475.88012,4478.83989,4475.88012,4477.88594,0
2026-05-29T01:08:00.000Z,2026-05-29T01:08:00.000Z,4476.15858,4480.08602,4476.15858,4479.65687,0
2026-05-29T01:09:00.000Z,2026-05-29T01:09:00.000Z,4479.16052,4479.16052,4473.86851,4474.80643,0
2026-05-29T01:10:00.000Z,2026-05-29T01:10:00.000Z,4476.99594,4476.99594,4472.27191,4472.75785,0
2026-05-29T01:11:00.000Z,2026-05-29T01:11:00.000Z,4473.68367,4474.08126,4473.19194,4473.96885,0
2026-05-29T01:12:00.000Z,2026-05-29T01:12:00.000Z,4473.74157,4473.74157,4473.07211,4473.12515,0
2026-05-29T01:13:00.000Z,2026-05-29T01:13:00.000Z,4473.23329,4473.2722,4473.07211,4473.12849,0
2026-05-29T01:14:00.000Z,2026-05-29T01:14:00.000Z,4473.14605,4473.47231,4472.75603,4473.40647,0
2026-05-29T01:15:00.000Z,2026-05-29T01:15:00.000Z,4473.19159,4473.19159,4472.10591,4472.3167,0
2026-05-29T01:16:00.000Z,2026-05-29T01:16:00.000Z,4472.69789,4472.69789,4471.87193,4471.96083,0
2026-05-29T01:17:00.000Z,2026-05-29T01:17:00.000Z,4472.11391,4472.51001,4471.87193,4471.90986,0
2026-05-29T01:18:00.000Z,2026-05-29T01:18:00.000Z,4471.92731,4472.87203,4471.92731,4472.77486,0
2026-05-29T01:19:00.000Z,2026-05-29T01:19:00.000Z,4472.55938,4472.55938,4472.27191,4472.31957,0
2026-05-29T01:20:00.000Z,2026-05-29T01:20:00.000Z,4472.39046,4472.42023,4472.27191,4472.41617,0
2026-05-29T01:21:00.000Z,2026-05-29T01:21:00.000Z,4472.3268,4472.47194,4471.93937,4472.44721,0
2026-05-29T01:22:00.000Z,2026-05-29T01:22:00.000Z,4472.34853,4472.34853,4470.74107,4471.11101,0
2026-05-29T01:23:00.000Z,2026-05-29T01:23:00.000Z,4471.70894,4473.72866,4470.27269,4470.43644,0
2026-05-29T01:24:00.000Z,2026-05-29T01:24:00.000Z,4470.85918,4475.52884,4470.85918,4474.88233,0
2026-05-29T01:25:00.000Z,2026-05-29T01:25:00.000Z,4474.05379,4476.27574,4474.05379,4476.02308,0
2026-05-29T01:26:00.000Z,2026-05-29T01:26:00.000Z,4475.44719,4476.90364,4475.44719,4476.62593,0
2026-05-29T01:27:00.000Z,2026-05-29T01:27:00.000Z,4475.95031,4479.1021,4475.38043,4478.30064,0
2026-05-29T01:28:00.000Z,2026-05-29T01:28:00.000Z,4476.79432,4479.88531,4476.79432,4479.57305,0
2026-05-29T01:29:00.000Z,2026-05-29T01:29:00.000Z,4478.95946,4478.95946,4477.90483,4478.15813,0
2026-05-29T01:30:00.000Z,2026-05-29T01:30:00.000Z,4478.54768,4478.75816,4477.47828,4477.59837,0
2026-05-29T01:31:00.000Z,2026-05-29T01:31:00.000Z,4477.95099,4479.26179,4477.95099,4479.12131,0
2026-05-29T01:32:00.000Z,2026-05-29T01:32:00.000Z,4478.65546,4479.74364,4478.65546,4479.57332,0
2026-05-29T01:33:00.000Z,2026-05-29T01:33:00.000Z,4479.32625,4479.72234,4479.32625,4479.6823,0
2026-05-29T01:34:00.000Z,2026-05-29T01:34:00.000Z,4479.52023,4479.94868,4479.52023,4479.89485,0
2026-05-29T01:35:00.000Z,2026-05-29T01:35:00.000Z,4479.77225,4480.66791,4479.77225,4480.3625,0
2026-05-29T01:36:00.000Z,2026-05-29T01:36:00.000Z,4479.94943,4483.62195,4479.94943,4482.56125,0
2026-05-29T01:37:00.000Z,2026-05-29T01:37:00.000Z,4481.18374,4485.10944,4481.18374,4484.6374,0
2026-05-29T01:38:00.000Z,2026-05-29T01:38:00.000Z,4483.72702,4483.72702,4481.41664,4482.11204,0
2026-05-29T01:39:00.000Z,2026-05-29T01:39:00.000Z,4483.58017,4483.58017,4480.28674,4480.61506,0
2026-05-29T01:40:00.000Z,2026-05-29T01:40:00.000Z,4481.20303,4481.68947,4479.80797,4480.26145,0
2026-05-29T01:41:00.000Z,2026-05-29T01:41:00.000Z,4481.23968,4481.23968,4478.69721,4479.08359,0
2026-05-29T01:42:00.000Z,2026-05-29T01:42:00.000Z,4479.64091,4479.64091,4477.87928,4478.12996,0
2026-05-29T01:43:00.000Z,2026-05-29T01:43:00.000Z,4478.43873,4479.3541,4478.41569,4479.14962,0
2026-05-29T01:44:00.000Z,2026-05-29T01:44:00.000Z,4478.8636,4479.74106,4478.52128,4479.57164,0
2026-05-29T01:45:00.000Z,2026-05-29T01:45:00.000Z,4479.27168,4479.88686,4477.36919,4477.80353,0
2026-05-29T01:46:00.000Z,2026-05-29T01:46:00.000Z,4478.57912,4480.28674,4478.57912,4480.08073,0
2026-05-29T01:47:00.000Z,2026-05-29T01:47:00.000Z,4479.68888,4480.66506,4479.68463,4480.36983,0
2026-05-29T01:48:00.000Z,2026-05-29T01:48:00.000Z,4479.53649,4481.44608,4479.53649,4481.16195,0
2026-05-29T01:49:00.000Z,2026-05-29T01:49:00.000Z,4480.71624,4482.20987,4479.80353,4481.90675,0
